Type	ID	Name	Modified	Version List	Date	Time	Compiled	Locked	Locked By
1	3	Payment Terms	No	NAVW17.00,NAVDK7.00	07-09-12	12:00:00	Yes	No	
1	4	Currency	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	5	Finance Charge Terms	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	6	Customer Price Group	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	7	Standard Text	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	8	Language	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	9	Country/Region	No	NAVW17.00,NAVDK7.00	07-09-12	12:00:00	Yes	No	
1	10	Shipment Method	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	13	Salesperson/Purchaser	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	14	Location	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	15	G/L Account	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	17	G/L Entry	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	18	Customer	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	19	Cust. Invoice Disc.	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	21	Cust. Ledger Entry	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	23	Vendor	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	24	Vendor Invoice Disc.	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	25	Vendor Ledger Entry	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	27	Item	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	30	Item Translation	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	32	Item Ledger Entry	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	36	Sales Header	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	37	Sales Line	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	38	Purchase Header	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	39	Purchase Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	42	Rounding Method	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	43	Purch. Comment Line	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	44	Sales Comment Line	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	45	G/L Register	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	46	Item Register	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	47	Aging Band Buffer	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	48	Invt. Posting Buffer	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	49	Invoice Post. Buffer	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	50	Accounting Period	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	51	User Time Register	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	77	Report Selections	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	78	Printer Selection	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	79	Company Information	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	80	Gen. Journal Template	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	81	Gen. Journal Line	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	82	Item Journal Template	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	83	Item Journal Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	84	Acc. Schedule Name	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	85	Acc. Schedule Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	86	Exch. Rate Adjmt. Reg.	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	87	Date Compr. Register	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	90	BOM Component	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	91	User Setup	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	92	Customer Posting Group	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	93	Vendor Posting Group	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	94	Inventory Posting Group	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	95	G/L Budget Name	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	96	G/L Budget Entry	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	97	Comment Line	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	98	General Ledger Setup	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	99	Item Vendor	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	110	Sales Shipment Header	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	111	Sales Shipment Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	112	Sales Invoice Header	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	113	Sales Invoice Line	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	114	Sales Cr.Memo Header	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	115	Sales Cr.Memo Line	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	120	Purch. Rcpt. Header	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	121	Purch. Rcpt. Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	122	Purch. Inv. Header	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	123	Purch. Inv. Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	124	Purch. Cr. Memo Hdr.	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	125	Purch. Cr. Memo Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	130	Incoming Document	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	131	Incoming Documents Setup	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	132	Incoming Document Approver	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	135	Acc. Sched. KPI Web Srv. Setup	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	136	Acc. Sched. KPI Web Srv. Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	140	License Agreement	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	152	Resource Group	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	156	Resource	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	160	Res. Capacity Entry	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	167	Job	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	169	Job Ledger Entry	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	170	Standard Sales Code	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	171	Standard Sales Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	172	Standard Customer Sales Code	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	173	Standard Purchase Code	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	174	Standard Purchase Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	175	Standard Vendor Purchase Code	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	179	Reversal Entry	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	180	G/L Account Where-Used	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	200	Work Type	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	201	Resource Price	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	202	Resource Cost	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	203	Res. Ledger Entry	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	204	Unit of Measure	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	205	Resource Unit of Measure	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	206	Res. Journal Template	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	207	Res. Journal Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	208	Job Posting Group	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	209	Job Journal Template	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	210	Job Journal Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	212	Job Posting Buffer	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	220	Business Unit	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	221	Gen. Jnl. Allocation	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	222	Ship-to Address	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	223	Drop Shpt. Post. Buffer	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	224	Order Address	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	225	Post Code	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	230	Source Code	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	231	Reason Code	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	232	Gen. Journal Batch	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	233	Item Journal Batch	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	236	Res. Journal Batch	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	237	Job Journal Batch	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	240	Resource Register	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	241	Job Register	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	242	Source Code Setup	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	244	Req. Wksh. Template	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	245	Requisition Wksh. Name	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	246	Requisition Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	250	Gen. Business Posting Group	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	251	Gen. Product Posting Group	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	252	General Posting Setup	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	253	G/L Entry - VAT Entry Link	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	254	VAT Entry	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	255	VAT Statement Template	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	256	VAT Statement Line	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	257	VAT Statement Name	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	258	Transaction Type	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	259	Transport Method	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	260	Tariff Number	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	261	Intrastat Jnl. Template	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	262	Intrastat Jnl. Batch	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	263	Intrastat Jnl. Line	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	264	Currency Amount	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	265	Document Entry	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	266	Customer Amount	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	267	Vendor Amount	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	268	Item Amount	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	269	G/L Account Net Change	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	270	Bank Account	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	271	Bank Account Ledger Entry	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	272	Check Ledger Entry	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	273	Bank Acc. Reconciliation	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	274	Bank Acc. Reconciliation Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	275	Bank Account Statement	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	276	Bank Account Statement Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	277	Bank Account Posting Group	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	278	Job Journal Quantity	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	279	Extended Text Header	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	280	Extended Text Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	281	Phys. Inventory Ledger Entry	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	282	Entry/Exit Point	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	283	Line Number Buffer	No	NAVW16.00	05-11-08	12:00:00	Yes	No	
1	284	Area	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	285	Transaction Specification	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	286	Territory	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	287	Customer Bank Account	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	288	Vendor Bank Account	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	289	Payment Method	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	290	VAT Amount Line	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	291	Shipping Agent	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	292	Reminder Terms	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	293	Reminder Level	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	294	Reminder Text	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	295	Reminder Header	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	296	Reminder Line	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	297	Issued Reminder Header	No	NAVW17.00,NAVDK7.00	07-09-12	12:00:00	Yes	No	
1	298	Issued Reminder Line	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	299	Reminder Comment Line	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	300	Reminder/Fin. Charge Entry	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	301	Finance Charge Text	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	302	Finance Charge Memo Header	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	303	Finance Charge Memo Line	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	304	Issued Fin. Charge Memo Header	No	NAVW17.00,NAVDK7.00	07-09-12	12:00:00	Yes	No	
1	305	Issued Fin. Charge Memo Line	No	NAVW17.10,NAVDK7.10	23-09-13	12:00:00	Yes	No	
1	306	Fin. Charge Comment Line	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
