Type	ID	Name	Caption	Modified	Version List	Date	Time	Compiled	Locked	Locked By
1	3	Payment Terms	Payment Terms	Yes	NAVW17.00,NAVDK7.00	09-09-14	09:07:42	Yes	No	
1	4	Currency	Currency	No	NAVW17.10.00.37799,NAVDK7.10.00.37799	28-08-14	12:00:00	Yes	No	
1	5	Finance Charge Terms	Finance Charge Terms	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	6	Customer Price Group	Customer Price Group	No	NAVW17.10	23-09-13	12:00:00	Yes	No	
1	7	Standard Text	Standard Text	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	8	Language	Language	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	9	Country/Region	Country/Region	No	NAVW17.00,NAVDK7.00	07-09-12	12:00:00	Yes	No	
1	10	Shipment Method	Shipment Method	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	13	Salesperson/Purchaser	Salesperson/Purchaser	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	14	Location	Location	No	NAVW17.10.00.37563	02-08-14	12:00:00	Yes	No	
1	15	G/L Account	G/L Account	No	NAVW17.10.00.37221	28-06-14	12:00:00	Yes	No	
1	17	G/L Entry	G/L Entry	Yes	NAVW17.10	07-02-15	11:26:20	Yes	No	
1	18	Customer	Customer	Yes	NAVW17.10.00.37563,NAVDK7.10.00.37563,EFAK7.10.00.3.07	08-02-15	11:04:06	Yes	No	
1	19	Cust. Invoice Disc.	Cust. Invoice Disc.	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	21	Cust. Ledger Entry	Cust. Ledger Entry	Yes	NAVW17.10.00.38053,NAVDK7.10.00.38053,PM7.10.00.2.14	04-02-15	17:32:00	Yes	No	
1	23	Vendor	Vendor	Yes	NAVW17.10.00.37563,NAVDK7.10.00.37563,PM7.10.00.2.14	24-02-15	10:56:44	Yes	No	
1	24	Vendor Invoice Disc.	Vendor Invoice Disc.	No	NAVW17.00	07-09-12	12:00:00	Yes	No	
1	25	Vendor Ledger Entry	Vendor Ledger Entry	Yes	NAVW17.10.00.38053,NAVDK7.10.00.38053,PM7.10.00.2.14,EFAK7.10.00.3.07	07-02-15	11:18:06	Yes	No	
